"ID","Author Name","Author Channel URL","Public","Published","Comment","Likes","Comment URL"
"UgzBmFAC6_-ZVvJ9p7Z4AaABAg","Ahmed","https://www.youtube.com/channel/UC9myGffSZER8lt9db-U3XJA","true","2020-03-18 11:13:20","4.","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgzBmFAC6_-ZVvJ9p7Z4AaABAg"
"Ugwkf4Rm0mp2KhyEtVJ4AaABAg","Jesus Smith Sangama Chota","https://www.youtube.com/channel/UCqAzVtUgU0KoMv7RXitQYiA","true","2020-03-18 11:13:20","This is cool","1","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugwkf4Rm0mp2KhyEtVJ4AaABAg"
"Ugx0LVcKHpIegKCms9N4AaABAg","David Campoverde","https://www.youtube.com/channel/UCn5m_jz35SD4bl7I7I0gXsw","true","2020-03-18 11:13:20","Samsung regálame uno!!! 😭😭😭😔😔😔🙏🙏","7","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugx0LVcKHpIegKCms9N4AaABAg"
"Ugwl-GT2cTA5g8PDnr54AaABAg","SAVIOLA","https://www.youtube.com/channel/UCRBeOpH246BBtdJsaVZZCzQ","true","2020-03-18 11:13:20","looks like my WALLET 😅😅🤣🖖🤞🤙✌️","2","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugwl-GT2cTA5g8PDnr54AaABAg"
"UgwJxBEfMpuUkPA7cVt4AaABAg","Youssef El kasmi","https://www.youtube.com/channel/UCqoxq_sJOFQeT3Yw1RJ5b3w","true","2020-03-18 11:13:20","how much  2000dollars","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgwJxBEfMpuUkPA7cVt4AaABAg"
"UgxMH6aNZS3rl4lhfQt4AaABAg","Beppe Grillo","https://www.youtube.com/channel/UCLumcZUjktmZA_etuCO-LpA","true","2020-03-18 11:13:20","GOOD JOB...","1","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgxMH6aNZS3rl4lhfQt4AaABAg"
"UgyAe6mh08Bidj4pwUZ4AaABAg","SkyGiants - Легендарная гильдия на Hypixel","https://www.youtube.com/channel/UCYe_SzC00Vp7XFUMMv48gAg","true","2020-03-18 11:13:20","It is bad guy... 😎⚡🔥","111","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgyAe6mh08Bidj4pwUZ4AaABAg"
"UgwXQjfHnysccyZsK4N4AaABAg","Tobias Krejci","https://www.youtube.com/channel/UCdwM7c5z8o5PmGOmu0CHR5Q","true","2020-03-18 11:13:20","Nobody:

Samsung: *""I'm the bad guy.""*

Edit: I got a trash phone in the back,
         Slow charger attached.
         Screen like spider web,
         Got the glass that's cracked to match.","2904","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgwXQjfHnysccyZsK4N4AaABAg"
"UgyjOA1QrFPFmAHAOTx4AaABAg","inno9best","https://www.youtube.com/channel/UCpBAx5bOH1Z4wz4IOAiOmPw","true","2020-03-18 11:13:20","I still don't get why should i buy this type of phone","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgyjOA1QrFPFmAHAOTx4AaABAg"
"UgxcFN4oigMdxZKl_MN4AaABAg","HUNGER PAINS","https://www.youtube.com/channel/UC87Zc7jcm0WmxGB4rDGe0yQ","true","2020-03-18 11:13:20","My dear samsung,
People won't buy this for the same price of S20 ultra...","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgxcFN4oigMdxZKl_MN4AaABAg"
